make,avg_selling_price
Acura,13983.5977050287
airstream,71000.0
Aston Martin,54812.0
Audi,19910.8346094946
Bentley,74367.6724137931
BMW,21474.0303467513
Buick,10709.5635618043
Cadillac,15072.4696552628
chev truck,2000.0
Chevrolet,11939.3590869328
Chrysler,11068.1471143396
Daewoo,400.0
Dodge,11164.0735631441
dodge tk,550.0
dot,500.0
Ferrari,127210.526315789
FIAT,10367.4878612717
Fisker,46461.1111111111
Ford,14496.117728414
ford tk,2800.0
ford truck,483.333333333333
Geo,528.947368421053
GMC,16923.4038353074
gmc truck,6920.45454545455
Honda,10905.4105517166
HUMMER,15269.4881987578
Hyundai,11003.2699372452
hyundai tk,2100.0
Infiniti,20417.4576935642
Isuzu,1709.19607843137
Jaguar,19782.5183098592
Jeep,14952.7435251566
Kia,11806.1753677691
Lamborghini,112625.0
Land Rover,31617.8138412017
landrover,11516.6666666667
Lexus,20213.9862270451
Lincoln,16839.7018665745
Lotus,40800.0
Maserati,44947.0588235294
Mazda,10050.0813352139
mazda tk,6500.0
mercedes,7471.42857142857
mercedes-b,13650.0
Mercedes-Benz,21590.566828073
Mercury,3907.26643598616
MINI,12313.6631513648
Mitsubishi,8185.24383368569
Nissan,11731.5623785105
Oldsmobile,939.453125
plymouth,7287.96296296296
pontiac,3752.22723253758
Porsche,39842.9393723253
Ram,25299.9368167906
Rolls-Royce,153488.235294118
Saab,3628.09917355372
Saturn,3385.42766631468
Scion,9578.80853586248
smart,6236.86868686869
Subaru,15245.8624338624
Suzuki,3907.34693877551
Tesla,67054.347826087
Toyota,12237.6501276085
Volkswagen,9377.5393891313
Volvo,11463.9524815206
vw,13672.9166666667

transmission,sales_count
automatic,475915
manual,17544
Sedan,26

make,model,mmr_price_diff
Acura,CL,-162.628865979381
Acura,ILX,134.642857142857
Acura,Integra,96.0227272727273
Acura,Legend,25.0
Acura,MDX,83.2384566729918
Acura,RDX,45.3571428571429
Acura,RL,28.7037037037037
Acura,RLX,991.176470588235
Acura,RSX,87.2516556291391
Acura,TL,68.9929742388759
Acura,TLX,-300.0
Acura,TSX,18.7890974084004
Acura,TSX Sport Wagon,-500.0
Acura,ZDX,206.410256410256
Acura,mdx,500.0
Aston Martin,DB9,-2883.33333333333
Aston Martin,Rapide,-8250.0
Aston Martin,V8 Vantage,147.058823529412
Audi,A3,33.7837837837838
Audi,A4,152.841662980982
Audi,A5,200.139275766017
Audi,A6,80.1744885679904
Audi,A7,33.8345864661654
Audi,A8,141.107382550336
Audi,Cabriolet,375.0
Audi,Q3,-1000.0
Audi,Q5,244.188191881919
Audi,Q7,307.447916666667
Audi,R8,1775.0
Audi,RS 4,1733.33333333333
Audi,RS 5,-83.3333333333333
Audi,RS 6,-156.25
Audi,RS 7,-225.0
Audi,S4,157.48730964467
Audi,S5,152.739726027397
Audi,S6,-194.0
Audi,S7,-643.75
Audi,S8,402.631578947368
Audi,SQ5,-71.4285714285714
Audi,TT,157.421875
Audi,TT RS,66.6666666666667
Audi,TTS,-91.6666666666667
Audi,allroad,130.434782608696
Audi,allroad quattro,269.285714285714
BMW,1 Series,130.432098765432
BMW,2 Series,-506.25
BMW,3 Series,103.025353486104
BMW,3 Series Gran Turismo,-274.657534246575
BMW,4 Series,-664.505119453925
BMW,4 Series Gran Coupe,1000.0
BMW,5 Series,183.622962607862
BMW,5 Series Gran Turismo,426.593137254902
BMW,6 Series,38.6834319526627
BMW,6 Series Gran Coupe,775.898148148148
BMW,7 Series,215.55929352397
BMW,8 Series,850.0
BMW,ActiveHybrid 5,-2825.0
BMW,ActiveHybrid 7,-2723.07692307692
BMW,ActiveHybrid X6,2360.0
BMW,M,-428.571428571429
BMW,M3,33.1683501683502
BMW,M4,-655.0
BMW,M5,-697.485981308411
BMW,M6,991.566265060241
BMW,M6 Gran Coupe,1756.66666666667
BMW,X1,-542.220543806647
BMW,X3,301.86
BMW,X4,240.0
BMW,X5,217.8208773355
BMW,X5 M,574.324324324324
BMW,X6,414.068441064639
BMW,X6 M,569.230769230769
BMW,Z3,-98.3606557377049
BMW,Z4,28.9855072463768
BMW,Z4 M,-1340.0
BMW,i8,6555.55555555556
Bentley,Continental Flying Spur,283.870967741935
Bentley,Continental Flying Spur Speed,-750.0
Bentley,Continental GT,524.418604651163
Bentley,Continental GT Speed,-416.666666666667
Bentley,Continental GTC,3771.21212121212
Bentley,Continental GTC Speed,-2000.0
Bentley,Continental Supersports,14000.0
Bentley,Flying Spur,8000.0
Buick,Century,323.017621145374
Buick,Enclave,10.4205607476636
Buick,Encore,-298.94623655914
Buick,LaCrosse,271.351851851852
Buick,LeSabre,199.799196787149
Buick,Lucerne,294.6875
Buick,Park Avenue,129.956896551724
Buick,Rainier,169.722222222222
Buick,Regal,166.55016722408
Buick,Rendezvous,199.390243902439
Buick,Riviera,-243.75
Buick,Roadmaster,-558.333333333333
Buick,Terraza,14.0909090909091
Buick,Verano,388.544502617801
Cadillac,ATS,194.258706467662
Cadillac,CTS,169.154084798345
Cadillac,CTS Coupe,-37.6582278481013
Cadillac,CTS Wagon,-857.142857142857
Cadillac,CTS-V,251.219512195122
Cadillac,CTS-V Coupe,1249.4
Cadillac,CTS-V Wagon,-8200.0
Cadillac,Catera,-227.586206896552
Cadillac,DTS,252.220039292731
Cadillac,DeVille,83.9589905362776
Cadillac,ELR,3780.0
Cadillac,Eldorado,-330.454545454545
Cadillac,Escalade,15.6990701606086
Cadillac,Escalade ESV,-32.4016
Cadillac,Escalade EXT,62.012987012987
Cadillac,Escalade Hybrid,-75.0
Cadillac,Fleetwood,1125.0
Cadillac,SRX,139.980031948882
Cadillac,STS,255.693069306931
Cadillac,STS-V,-300.0
Cadillac,Seville,63.7658227848101
Cadillac,XLR,956.730769230769
Cadillac,XTS,193.541935483871
Chevrolet,Astro,75.0
Chevrolet,Astro Cargo,19.0217391304348
Chevrolet,Avalanche,105.025996533795
Chevrolet,Aveo,189.383116883117
Chevrolet,Black Diamond Avalanche,111.904761904762
Chevrolet,Blazer,197.568389057751
Chevrolet,C/K 1500 Series,-153.703703703704
Chevrolet,C/K 2500 Series,-100.0
Chevrolet,C/K 3500 Series,-37.5
Chevrolet,Camaro,236.074358974359
Chevrolet,Caprice,1105.0
Chevrolet,Captiva Sport,407.449803149606
Chevrolet,Cavalier,92.1875
Chevrolet,Classic,259.375
Chevrolet,Cobalt,175.287356321839
Chevrolet,Colorado,231.088560885609
Chevrolet,Corsica,-75.0
Chevrolet,Corvette,-189.563670411985
Chevrolet,Corvette Stingray,283.185840707965
Chevrolet,Cruze,144.830812854442
Chevrolet,Equinox,141.161106590724
Chevrolet,Express,241.716723549488
Chevrolet,Express Cargo,39.2991533396049
Chevrolet,HHR,159.70695970696
Chevrolet,Impala,249.384071690016
Chevrolet,Impala Limited,91.9228675136116
Chevrolet,Lumina,-61.1111111111111
Chevrolet,Malibu,249.915054069437
Chevrolet,Malibu Classic,452.272727272727
Chevrolet,Malibu Hybrid,1005.20833333333
Chevrolet,Malibu Maxx,135.610465116279
Chevrolet,Monte Carlo,269.158291457286
Chevrolet,Prizm,-215.322580645161
Chevrolet,S-10,169.796380090498
Chevrolet,S-10 Blazer,50.0
Chevrolet,SS,-150.0
Chevrolet,SSR,53.7037037037037
Chevrolet,Silverado 1500,84.659541024835
Chevrolet,Silverado 1500 Classic,241.622340425532
Chevrolet,Silverado 1500 Hybrid,1050.0
Chevrolet,Silverado 1500HD,30.1136363636364
Chevrolet,Silverado 2500,-62.0
Chevrolet,Silverado 2500HD,-46.4864864864865
Chevrolet,Silverado 2500HD Classic,455.384615384615
Chevrolet,Silverado 3500,445.394736842105
Chevrolet,Silverado 3500 Classic,1450.0
Chevrolet,Silverado 3500HD,737.337662337662
Chevrolet,Sonic,259.160964666293
Chevrolet,Spark,596.891304347826
Chevrolet,Spark EV,3050.0
Chevrolet,Suburban,136.258642232403
Chevrolet,Tahoe,196.705882352941
Chevrolet,Tahoe Hybrid,22.7272727272727
Chevrolet,Tahoe Limited/Z71,593.181818181818
Chevrolet,Tracker,48.1884057971015
Chevrolet,TrailBlazer,234.642541924095
Chevrolet,TrailBlazer EXT,337.631578947368
Chevrolet,Traverse,88.1625248508946
Chevrolet,Uplander,134.868421052632
Chevrolet,Venture,83.6871508379888
Chevrolet,Volt,-145.256916996047
Chevrolet,malibu,274.484536082474
Chrysler,200,358.631084754139
Chrysler,300,282.07867760123
Chrysler,300M,55.1980198019802
Chrysler,Aspen,58.4429824561403
Chrysler,Cirrus,83.6538461538462
Chrysler,Concorde,-18.5606060606061
Chrysler,Crossfire,-163.559322033898
Chrysler,LHS,-87.5
Chrysler,Le Baron,-350.0
Chrysler,PT Cruiser,199.370430544273
Chrysler,Pacifica,228.165938864629
Chrysler,Prowler,-150.0
Chrysler,Sebring,139.929472902747
Chrysler,Town and Country,208.612445779112
Chrysler,Voyager,-47.3684210526316
Daewoo,Leganza,625.0
Daewoo,Nubira,37.5
Dodge,Avenger,208.811916182782
Dodge,Caliber,170.730337078652
Dodge,Caravan,109.581497797357
Dodge,Challenger,228.970735785953
Dodge,Charger,243.775672102248
Dodge,Dakota,143.225538971808
Dodge,Dart,291.485408560311
Dodge,Durango,274.179126213592
Dodge,Grand Caravan,109.215715904798
Dodge,Intrepid,164.565217391304
Dodge,Journey,239.958387096774
Dodge,Magnum,365.733333333333
Dodge,Neon,122.154471544715
Dodge,Nitro,78.0327868852459
Dodge,Ram Cargo,485.714285714286
Dodge,Ram Pickup 1500,377.18218442256
Dodge,Ram Pickup 2500,489.009900990099
Dodge,Ram Pickup 3500,234.452736318408
Dodge,Ram Van,100.0
Dodge,Spirit,200.0
Dodge,Sprinter,100.0
Dodge,Sprinter Cargo,142.016806722689
Dodge,Stratus,148.367697594502
Dodge,Viper,845.454545454545
FIAT,500,171.13644524237
FIAT,500L,159.508196721311
FIAT,500e,550.0
Ferrari,360,-1000.0
Ferrari,458 Italia,-1000.0
Ferrari,California,1846.15384615385
Ferrari,F430,4000.0
Fisker,Karma,2638.88888888889
Ford,Aspire,62.5
Ford,C-Max Energi,227.884615384615
Ford,C-Max Hybrid,42.7820512820513
Ford,Contour,-50.0
Ford,Crown Victoria,329.464285714286
Ford,E-150,260.0
Ford,E-250,400.0
Ford,E-350,-158.333333333333
Ford,E-Series Van,156.266593527153
Ford,E-Series Wagon,221.659906396256
Ford,Econoline Cargo,-32.1
Ford,Econoline Wagon,-394.259259259259
Ford,Edge,253.559763313609
Ford,Escape,175.885085574572
Ford,Escape Hybrid,294.664179104478
Ford,Escort,85.2380952380952
Ford,Excursion,-29.4117647058824
Ford,Expedition,144.395966029724
Ford,Expedition EL,-49.2647058823529
Ford,Explorer,266.965875178409
Ford,Explorer Sport,-10.3053435114504
Ford,Explorer Sport Trac,205.955334987593
Ford,F-150,218.764486497686
Ford,F-150 Heritage,880.555555555556
Ford,F-150 SVT Lightning,666.666666666667
Ford,F-250,-50.0
Ford,F-250 Super Duty,62.4654161781946
Ford,F-350 Super Duty,238.393588601959
Ford,F-450 Super Duty,344.818181818182
Ford,Fiesta,203.642105263158
Ford,Five Hundred,115.223463687151
Ford,Flex,194.895608947804
Ford,Focus,181.751395035597
Ford,Focus ST,-35.9375
Ford,Freestar,168.515267175573
Ford,Freestyle,51.3489208633094
Ford,Fusion,214.782155272306
Ford,Fusion Energi,373.529411764706
Ford,Fusion Hybrid,254.443925233645
Ford,Mustang,137.508282828283
Ford,Mustang SVT Cobra,-402.083333333333
Ford,Ranger,170.129659643436
Ford,Shelby GT500,-139.0
Ford,Taurus,165.269950526995
Ford,Taurus X,8.42696629213483
Ford,Tempo,75.0
Ford,Thunderbird,-206.632653061224
Ford,Transit Connect,285.785714285714
Ford,Transit Van,792.105263157895
Ford,Transit Wagon,770.588235294118
Ford,Windstar,88.0896226415094
Ford,Windstar Cargo,56.25
GMC,Acadia,66.476401179941
GMC,Canyon,110.169491525424
GMC,Envoy,223.371335504886
GMC,Envoy XL,200.0
GMC,Envoy XUV,-214.285714285714
GMC,Jimmy,161.309523809524
GMC,Safari,500.0
GMC,Safari Cargo,412.5
GMC,Savana,-2265.90909090909
GMC,Savana Cargo,2.34138972809668
GMC,Sierra 1500,128.804114873553
GMC,Sierra 1500 Classic,659.574468085106
GMC,Sierra 1500 Hybrid,1200.0
GMC,Sierra 1500HD,-137.5
GMC,Sierra 2500,506.25
GMC,Sierra 2500HD,277.924944812362
GMC,Sierra 2500HD Classic,1215.0
GMC,Sierra 3500,1845.0
GMC,Sierra 3500HD,725.0
GMC,Sonoma,151.363636363636
GMC,Suburban,112.5
GMC,Terrain,120.422535211268
GMC,Yukon,185.687545520757
GMC,Yukon Denali,-736.111111111111
GMC,Yukon Hybrid,-203.676470588235
GMC,Yukon XL,-103.155309033281
GMC,envoy,163.75
Geo,Metro,-100.0
Geo,Prizm,90.2777777777778
HUMMER,H1,-2350.0
HUMMER,H2,-149.506578947368
HUMMER,H2 SUT,-1682.30769230769
HUMMER,H3,-73.2237762237762
HUMMER,H3T,-2466.66666666667
Honda,Accord,26.1942587925934
Honda,Accord Crosstour,-32.7830188679245
Honda,Accord Hybrid,755.0
Honda,CR-V,21.7660030627871
Honda,CR-Z,209.722222222222
Honda,Civic,88.5704291672272
Honda,Civic del Sol,850.0
Honda,Crosstour,84.6666666666667
Honda,Element,-35.7792207792208
Honda,Fit,163.43537414966
Honda,Insight,17.8728070175439
Honda,Odyssey,89.1217142857143
Honda,Passport,18.9655172413793
Honda,Pilot,128.880560928433
Honda,Prelude,-389.285714285714
Honda,Ridgeline,164.572864321608
Honda,S2000,-604.347826086957
Honda,accord,366.304347826087
Hyundai,Accent,362.480627758705
Hyundai,Azera,14.4108280254777
Hyundai,Elantra,239.594314007347
Hyundai,Elantra Coupe,219.174757281553
Hyundai,Elantra GT,308.536585365854
Hyundai,Elantra Touring,143.307086614173
Hyundai,Entourage,-36.0714285714286
Hyundai,Equus,463.636363636364
Hyundai,Genesis,237.678492239468
Hyundai,Genesis Coupe,-139.965986394558
Hyundai,Santa Fe,51.0990881458967
Hyundai,Santa Fe Sport,154.440789473684
Hyundai,Sonata,260.029224537037
Hyundai,Sonata Hybrid,71.7124542124542
Hyundai,Tiburon,132.434554973822
Hyundai,Tucson,237.571592210767
Hyundai,Veloster,25.7401315789474
Hyundai,Veracruz,80.2884615384615
Hyundai,XG300,-269.444444444444
Hyundai,XG350,220.886075949367
